epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,68983.4,0.46397,0.51956,0.1249,0.7143,0.708,0.71338,0.43563,0.43009,0.38721,0.60933,0.14694,0.002179,0.002179,0.002179
81,70154.9,0.53067,0.54043,0.13798,0.717,0.70847,0.71592,0.44218,0.43431,0.38341,0.60793,0.14609,0.00208,0.00208,0.00208
82,71327.9,0.55784,0.54248,0.14478,0.71452,0.71054,0.71448,0.4384,0.43177,0.38745,0.60791,0.14631,0.001981,0.001981,0.001981
83,72498.8,0.50931,0.51581,0.13233,0.71775,0.71142,0.71741,0.44016,0.43247,0.38781,0.60679,0.14643,0.001882,0.001882,0.001882
84,73669.1,0.37274,0.50246,0.1093,0.72072,0.71246,0.71988,0.44286,0.43555,0.38476,0.60537,0.1458,0.001783,0.001783,0.001783
85,74840.4,0.59083,0.48969,0.15196,0.72313,0.71118,0.72099,0.44212,0.43498,0.38681,0.60408,0.14611,0.001684,0.001684,0.001684
86,76008.1,0.66933,0.51068,0.16671,0.71546,0.7072,0.71223,0.41541,0.41487,0.41415,0.60775,0.14942,0.001585,0.001585,0.001585
87,76831.9,0.53712,0.54212,0.14065,0.71709,0.70363,0.71111,0.40982,0.41116,0.41977,0.60814,0.15002,0.001486,0.001486,0.001486
88,77660.4,0.59867,0.53177,0.15678,0.71879,0.70829,0.7159,0.42,0.41953,0.40964,0.6047,0.14886,0.001387,0.001387,0.001387
89,78488.3,0.47098,0.51354,0.1251,0.72319,0.70805,0.71896,0.42885,0.42612,0.40051,0.60132,0.14775,0.001288,0.001288,0.001288
90,79319.1,0.45671,0.50493,0.12113,0.72548,0.71492,0.72451,0.44307,0.43709,0.38686,0.59726,0.14593,0.001189,0.001189,0.001189
91,80155.7,0.38626,0.49335,0.11952,0.73241,0.71851,0.73111,0.46147,0.45105,0.37022,0.59257,0.14376,0.00109,0.00109,0.00109
92,80980.5,0.52166,0.52134,0.13807,0.73265,0.71981,0.73285,0.46347,0.45262,0.36895,0.59173,0.14344,0.000991,0.000991,0.000991
93,81804.2,0.53351,0.52337,0.14872,0.73488,0.72195,0.73439,0.46407,0.45495,0.36669,0.59047,0.14291,0.000892,0.000892,0.000892
94,82626.3,0.47025,0.50841,0.13722,0.73303,0.7237,0.7348,0.46562,0.45506,0.36764,0.5906,0.14232,0.000793,0.000793,0.000793
95,83449.2,0.43015,0.52181,0.12881,0.73427,0.72338,0.73516,0.46466,0.45452,0.36862,0.5908,0.14229,0.000694,0.000694,0.000694
96,84270.9,0.46059,0.51153,0.12828,0.73436,0.72479,0.73586,0.46415,0.4548,0.36802,0.59105,0.14207,0.000595,0.000595,0.000595
97,85090.1,0.39905,0.50034,0.1183,0.73831,0.72787,0.73845,0.47607,0.46348,0.35752,0.58932,0.14099,0.000496,0.000496,0.000496
98,85914.5,0.3863,0.49521,0.11456,0.73765,0.7301,0.73934,0.47688,0.46485,0.3567,0.58875,0.14059,0.000397,0.000397,0.000397
99,86739.1,0.37584,0.48242,0.11178,0.7375,0.73199,0.74056,0.48371,0.46948,0.35162,0.58737,0.14013,0.000298,0.000298,0.000298
100,87562.9,0.36857,0.47802,0.10868,0.73956,0.73259,0.74288,0.48925,0.47389,0.3481,0.58565,0.14004,0.000199,0.000199,0.000199
